date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:46	681/681	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Jun%202021%2006:22:46%20GMT	http://d.playalotgames.com/robots.txt		(from )
12:22:47	4720/4720	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2012:23:30%20GMT	http://d.playalotgames.com/	I:/Fiver/d.playalotgames.com/index.html	(from )
12:22:47	2158/2158	---MCZ	200	added ('OK')	text/css	etag:W/%220b03bee2f43d41:0%22	http://d.playalotgames.com/assets/styles/components/normalize.min.css	I:/Fiver/d.playalotgames.com/assets/styles/components/normalize.min.css	(from http://d.playalotgames.com/)
12:22:47	24225/24225	---MCZ	200	added ('OK')	text/css	etag:W/%220b03bee2f43d41:0%22	http://d.playalotgames.com/public/css/main.css	I:/Fiver/d.playalotgames.com/public/css/main.css	(from http://d.playalotgames.com/)
12:22:48	22869/22869	---MCZ	200	added ('OK')	text/css	etag:W/%220b03bee2f43d41:0%22	http://d.playalotgames.com/public/css/swiper.css	I:/Fiver/d.playalotgames.com/public/css/swiper.css	(from http://d.playalotgames.com/)
12:22:48	4720/4720	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2012:23:30%20GMT	http://d.playalotgames.com/index.html	I:/Fiver/d.playalotgames.com/index-2.html	(from http://d.playalotgames.com/)
12:22:48	1245/1245	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Jun%202021%2006:22:48%20GMT	http://d.playalotgames.com/blog.html	I:/Fiver/d.playalotgames.com/blog.html	(from http://d.playalotgames.com/)
12:22:48	11042/11042	---M--	200	added ('OK')	image/png	etag:%2264e897575fd51:0%22	http://d.playalotgames.com/public/img/androidqr.png?v=2	I:/Fiver/d.playalotgames.com/public/img/androidqr5e1f.png	(from http://d.playalotgames.com/)
12:22:49	1245/1245	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Jun%202021%2006:22:48%20GMT	http://d.playalotgames.com/itms-services://?action=download-manifest&url=https://d1.playalotgames.com/product/XEGamev3.plist	I:/Fiver/d.playalotgames.com/itms-services_/indexb26f.html	(from http://d.playalotgames.com/)
12:22:49	17439/17439	---M--	200	added ('OK')	image/png	etag:%22ee1f9b575fd51:0%22	http://d.playalotgames.com/public/img/iosqr.png?v=2	I:/Fiver/d.playalotgames.com/public/img/iosqr5e1f.png	(from http://d.playalotgames.com/)
12:22:50	3755/3755	---MCZ	200	added ('OK')	application/javascript	etag:W/%220b03bee2f43d41:0%22	http://d.playalotgames.com/assets/javascripts/main.js	I:/Fiver/d.playalotgames.com/assets/javascripts/main.js	(from http://d.playalotgames.com/)
12:22:53	29382/29382	---M--	200	added ('OK')	image/png	etag:%2291f88e3f3ac4d41:0%22	http://d.playalotgames.com/public/img/tishi@2x.png	I:/Fiver/d.playalotgames.com/public/img/tishi@2x.png	(from http://d.playalotgames.com/)
12:22:54	138/138	---M--	200	added ('OK')	image/png	etag:%22d3123876cda5d41:0%22	http://d.playalotgames.com/public/img/top-bg.png	I:/Fiver/d.playalotgames.com/public/img/top-bg.png	(from http://d.playalotgames.com/public/css/main.css)
12:22:54	45250/45250	---M--	200	added ('OK')	image/png	etag:%2281b390661db3d41:0%22	http://d.playalotgames.com/public/img/webqr.png	I:/Fiver/d.playalotgames.com/public/img/webqr.png	(from http://d.playalotgames.com/)
12:22:55	191/191	---M--	200	added ('OK')	image/png	etag:%225bbc1e76cda5d41:0%22	http://d.playalotgames.com/public/img/menu-btn.png	I:/Fiver/d.playalotgames.com/public/img/menu-btn.png	(from http://d.playalotgames.com/public/css/main.css)
12:22:55	181/181	---M--	200	added ('OK')	image/png	etag:%22542376cda5d41:0%22	http://d.playalotgames.com/public/img/menu-btn-main-h.png	I:/Fiver/d.playalotgames.com/public/img/menu-btn-main-h.png	(from http://d.playalotgames.com/public/css/main.css)
12:22:55	163/163	---M--	200	added ('OK')	image/png	etag:%22e2ff2476cda5d41:0%22	http://d.playalotgames.com/public/img/menu-btn-vip.png	I:/Fiver/d.playalotgames.com/public/img/menu-btn-vip.png	(from http://d.playalotgames.com/public/css/main.css)
